entity_type,code,name,slug,url,region_code,province_code,category,is_active,sort_order,keywords
attraction,BMY-003,Shahr-e-Zohak,shahr-e-zohak,/attractions/shahr-e-zohak,CENTRAL,BMY,Ancient Civilizations,1,7,Shahr-e-Zohak BMY-003 BMY Ancient Civilizations
attraction,KDR-006,Ayno Mina,ayno-mina-kandahar,/attractions/ayno-mina-kandahar,SOUTH,KDR,Urban,1,8,Ayno Mina KDR-006 KDR Urban
attraction,KDR-005,Chilzina and the Forty Steps,chilzina-forty-steps,/attractions/chilzina-forty-steps,SOUTH,KDR,Ancient Civilizations,1,8,Chilzina and the Forty Steps KDR-005 KDR Ancient Civilizations
attraction,HER-004,Herat Minarets,herat-minarets-musalla-complex,/attractions/herat-minarets-musalla-complex,WEST,HER,Landmarks,1,8,Herat Minarets HER-004 HER Landmarks
attraction,HER-001,Herat Old City & Bazaars,herat-old-city-bazaars,/attractions/herat-old-city-bazaars,WEST,HER,Bazaars & Artisans,1,8,Herat Old City & Bazaars HER-001 HER Bazaars & Artisans
attraction,KBL-002,Kabul National Museum,kabul-national-museum,/attractions/kabul-national-museum,CENTRAL,KBL,Landmarks,1,8,Kabul National Museum KBL-002 KBL Landmarks
attraction,BMY-005,Koh-e-Baba Mountain Range,koh-e-baba-range,/attractions/koh-e-baba-range,CENTRAL,BMY,Nature & Adventure,1,8,Koh-e-Baba Mountain Range BMY-005 BMY Nature & Adventure
attraction,KBL-017,OMAR Landmine Museum,omar-landmine-museum,/attractions/omar-landmine-museum,CENTRAL,KBL,Landmarks,1,8,OMAR Landmine Museum KBL-017 KBL Landmarks
attraction,SAM-001,Takht-e Rostam,takht-e-rostam-samangan,/attractions/takht-e-rostam-samangan,NORTH,SAM,Ancient Civilizations,1,8,Takht-e Rostam SAM-001 SAM Ancient Civilizations
attraction,BDK-002,The Wakhan Corridor,the-wakhan-corridor,/attractions/the-wakhan-corridor,NORTH,BDK,Nature & Adventure,1,8,The Wakhan Corridor BDK-002 BDK Nature & Adventure
